identifier,title,description,subject,creator,combine_column,combine_cleaned,cuenta,cluster,name_file
http://arxiv.org/abs/0704.3504,Smooth R\'enyi Entropy of Ergodic Quantum Information Sources,"  We prove that the average smooth Renyi entropy rate will approach the entropy rate of a stationary, ergodic information source, which is equal to the Shannon entropy rate for a classical information source and the von Neumann entropy rate for a quantum information source. ",Quantum Physics ; Computer Science - Information Theory ; ,"Schoenmakers, Berry ; Tjoelker, Jilles ; Tuyls, Pim ; Verbitskiy, Evgeny ; ","Smooth R\'enyi Entropy of Ergodic Quantum Information Sources  We prove that the average smooth Renyi entropy rate will approach the entropy rate of a stationary, ergodic information source, which is equal to the Shannon entropy rate for a classical information source and the von Neumann entropy rate for a quantum information source. ",smooth enyi entropy ergodic quantum information source prove average smooth renyi entropy rate approach entropy rate stationary ergodic information source equal shannon entropy rate classical information source von neumann entropy rate quantum information source,34,11,0704.3504.txt
http://arxiv.org/abs/0706.1402,Analyzing Design Process and Experiments on the AnITA Generic Tutoring   System,"  In the field of tutoring systems, investigations have shown that there are many tutoring systems specific to a specific domain that, because of their static architecture, cannot be adapted to other domains. As consequence, often neither methods nor knowledge can be reused. In addition, the knowledge engineer must have programming skills in order to enhance and evaluate the system. One particular challenge is to tackle these problems with the development of a generic tutoring system. AnITA, as a stand-alone application, has been developed and implemented particularly for this purpose. However, in the testing phase, we discovered that this architecture did not fully match the user's intuitive understanding of the use of a learning tool. Therefore, AnITA has been redesigned to exclusively work as a client/server application and renamed to AnITA2. This paper discusses the evolvements made on the AnITA tutoring system, the goal of which is to use generic principles for system re-use in any domain. Two experiments were conducted, and the results are presented in this paper. ",Computer Science - Computers and Society ; Computer Science - Human-Computer Interaction ; ,"Brust, Matthias R. ; Rothkugel, Steffen ; ","Analyzing Design Process and Experiments on the AnITA Generic Tutoring   System  In the field of tutoring systems, investigations have shown that there are many tutoring systems specific to a specific domain that, because of their static architecture, cannot be adapted to other domains. As consequence, often neither methods nor knowledge can be reused. In addition, the knowledge engineer must have programming skills in order to enhance and evaluate the system. One particular challenge is to tackle these problems with the development of a generic tutoring system. AnITA, as a stand-alone application, has been developed and implemented particularly for this purpose. However, in the testing phase, we discovered that this architecture did not fully match the user's intuitive understanding of the use of a learning tool. Therefore, AnITA has been redesigned to exclusively work as a client/server application and renamed to AnITA2. This paper discusses the evolvements made on the AnITA tutoring system, the goal of which is to use generic principles for system re-use in any domain. Two experiments were conducted, and the results are presented in this paper. ",analyze design process experiment anita generic tutor system field tutor systems investigations show many tutor systems specific specific domain static architecture cannot adapt domains consequence often neither methods knowledge reuse addition knowledge engineer must program skills order enhance evaluate system one particular challenge tackle problems development generic tutor system anita stand alone application develop implement particularly purpose however test phase discover architecture fully match user intuitive understand use learn tool therefore anita redesign exclusively work client server application rename anita paper discuss evolvements make anita tutor system goal use generic principles system use domain two experiment conduct result present paper,100,10,0706.1402.txt
http://arxiv.org/abs/0710.0736,Colour image segmentation by the vector-valued Allen-Cahn phase-field   model: a multigrid solution,"  We propose a new method for the numerical solution of a PDE-driven model for colour image segmentation and give numerical examples of the results. The method combines the vector-valued Allen-Cahn phase field equation with initial data fitting terms. This method is known to be closely related to the Mumford-Shah problem and the level set segmentation by Chan and Vese. Our numerical solution is performed using a multigrid splitting of a finite element space, thereby producing an efficient and robust method for the segmentation of large images. ",Computer Science - Computer Vision and Pattern Recognition ; Computer Science - Numerical Analysis ; I.4.6 ; G.1.8 ; ,"Kay, David A ; Tomasi, Alessandro ; ","Colour image segmentation by the vector-valued Allen-Cahn phase-field   model: a multigrid solution  We propose a new method for the numerical solution of a PDE-driven model for colour image segmentation and give numerical examples of the results. The method combines the vector-valued Allen-Cahn phase field equation with initial data fitting terms. This method is known to be closely related to the Mumford-Shah problem and the level set segmentation by Chan and Vese. Our numerical solution is performed using a multigrid splitting of a finite element space, thereby producing an efficient and robust method for the segmentation of large images. ",colour image segmentation vector value allen cahn phase field model multigrid solution propose new method numerical solution pde drive model colour image segmentation give numerical examples result method combine vector value allen cahn phase field equation initial data fit term method know closely relate mumford shah problem level set segmentation chan vese numerical solution perform use multigrid split finite element space thereby produce efficient robust method segmentation large image,69,11,0710.0736.txt
http://arxiv.org/abs/0803.2570,Unequal Error Protection: An Information Theoretic Perspective,"  An information theoretic framework for unequal error protection is developed in terms of the exponential error bounds. The fundamental difference between the bit-wise and message-wise unequal error protection (UEP) is demonstrated, for fixed length block codes on DMCs without feedback. Effect of feedback is investigated via variable length block codes. It is shown that, feedback results in a significant improvement in both bit-wise and message-wise UEP (except the single message case for missed detection). The distinction between false-alarm and missed-detection formalizations for message-wise UEP is also considered. All results presented are at rates close to capacity. ",Computer Science - Information Theory ; Computer Science - Discrete Mathematics ; Mathematics - Combinatorics ; ,"Borade, Shashi ; Nakiboglu, Baris ; Zheng, Lizhong ; ","Unequal Error Protection: An Information Theoretic Perspective  An information theoretic framework for unequal error protection is developed in terms of the exponential error bounds. The fundamental difference between the bit-wise and message-wise unequal error protection (UEP) is demonstrated, for fixed length block codes on DMCs without feedback. Effect of feedback is investigated via variable length block codes. It is shown that, feedback results in a significant improvement in both bit-wise and message-wise UEP (except the single message case for missed detection). The distinction between false-alarm and missed-detection formalizations for message-wise UEP is also considered. All results presented are at rates close to capacity. ",unequal error protection information theoretic perspective information theoretic framework unequal error protection develop term exponential error bound fundamental difference bite wise message wise unequal error protection uep demonstrate fix length block cod dmcs without feedback effect feedback investigate via variable length block cod show feedback result significant improvement bite wise message wise uep except single message case miss detection distinction false alarm miss detection formalizations message wise uep also consider result present rat close capacity,75,5,0803.2570.txt
http://arxiv.org/abs/0808.0084,On the hitting times of quantum versus random walks,"  In this paper we define new Monte Carlo type classical and quantum hitting times, and we prove several relationships among these and the already existing Las Vegas type definitions. In particular, we show that for some marked state the two types of hitting time are of the same order in both the classical and the quantum case.   Further, we prove that for any reversible ergodic Markov chain $P$, the quantum hitting time of the quantum analogue of $P$ has the same order as the square root of the classical hitting time of $P$. We also investigate the (im)possibility of achieving a gap greater than quadratic using an alternative quantum walk.   Finally, we present new quantum algorithms for the detection and finding problems. The complexities of both algorithms are related to the new, potentially smaller, quantum hitting times. The detection algorithm is based on phase estimation and is particularly simple. The finding algorithm combines a similar phase estimation based procedure with ideas of Tulsi from his recent theorem for the 2D grid. Extending his result, we show that for any state-transitive Markov chain with unique marked state, the quantum hitting time is of the same order for both the detection and finding problems. ",Quantum Physics ; Computer Science - Data Structures and Algorithms ; ,"Magniez, Frederic ; Nayak, Ashwin ; Richter, Peter C. ; Santha, Miklos ; ","On the hitting times of quantum versus random walks  In this paper we define new Monte Carlo type classical and quantum hitting times, and we prove several relationships among these and the already existing Las Vegas type definitions. In particular, we show that for some marked state the two types of hitting time are of the same order in both the classical and the quantum case.   Further, we prove that for any reversible ergodic Markov chain $P$, the quantum hitting time of the quantum analogue of $P$ has the same order as the square root of the classical hitting time of $P$. We also investigate the (im)possibility of achieving a gap greater than quadratic using an alternative quantum walk.   Finally, we present new quantum algorithms for the detection and finding problems. The complexities of both algorithms are related to the new, potentially smaller, quantum hitting times. The detection algorithm is based on phase estimation and is particularly simple. The finding algorithm combines a similar phase estimation based procedure with ideas of Tulsi from his recent theorem for the 2D grid. Extending his result, we show that for any state-transitive Markov chain with unique marked state, the quantum hitting time is of the same order for both the detection and finding problems. ",hit time quantum versus random walk paper define new monte carlo type classical quantum hit time prove several relationships among already exist las vegas type definitions particular show mark state two type hit time order classical quantum case prove reversible ergodic markov chain quantum hit time quantum analogue order square root classical hit time also investigate im possibility achieve gap greater quadratic use alternative quantum walk finally present new quantum algorithms detection find problems complexities algorithms relate new potentially smaller quantum hit time detection algorithm base phase estimation particularly simple find algorithm combine similar phase estimation base procedure ideas tulsi recent theorem grid extend result show state transitive markov chain unique mark state quantum hit time order detection find problems,120,11,0808.0084.txt
http://arxiv.org/abs/0811.1254,Coding Theory and Algebraic Combinatorics,"  This chapter introduces and elaborates on the fruitful interplay of coding theory and algebraic combinatorics, with most of the focus on the interaction of codes with combinatorial designs, finite geometries, simple groups, sphere packings, kissing numbers, lattices, and association schemes. In particular, special interest is devoted to the relationship between codes and combinatorial designs. We describe and recapitulate important results in the development of the state of the art. In addition, we give illustrative examples and constructions, and highlight recent advances. Finally, we provide a collection of significant open problems and challenges concerning future research. ",Mathematics - Combinatorics ; Computer Science - Information Theory ; ,"Huber, Michael ; ","Coding Theory and Algebraic Combinatorics  This chapter introduces and elaborates on the fruitful interplay of coding theory and algebraic combinatorics, with most of the focus on the interaction of codes with combinatorial designs, finite geometries, simple groups, sphere packings, kissing numbers, lattices, and association schemes. In particular, special interest is devoted to the relationship between codes and combinatorial designs. We describe and recapitulate important results in the development of the state of the art. In addition, we give illustrative examples and constructions, and highlight recent advances. Finally, we provide a collection of significant open problems and challenges concerning future research. ",cod theory algebraic combinatorics chapter introduce elaborate fruitful interplay cod theory algebraic combinatorics focus interaction cod combinatorial design finite geometries simple group sphere pack kiss number lattices association scheme particular special interest devote relationship cod combinatorial design describe recapitulate important result development state art addition give illustrative examples constructions highlight recent advance finally provide collection significant open problems challenge concern future research,62,5,0811.1254.txt
http://arxiv.org/abs/0811.2853,Generating Random Networks Without Short Cycles,"  Random graph generation is an important tool for studying large complex networks. Despite abundance of random graph models, constructing models with application-driven constraints is poorly understood. In order to advance state-of-the-art in this area, we focus on random graphs without short cycles as a stylized family of graphs, and propose the RandGraph algorithm for randomly generating them. For any constant k, when m=O(n^{1+1/[2k(k+3)]}), RandGraph generates an asymptotically uniform random graph with n vertices, m edges, and no cycle of length at most k using O(n^2m) operations. We also characterize the approximation error for finite values of n. To the best of our knowledge, this is the first polynomial-time algorithm for the problem. RandGraph works by sequentially adding $m$ edges to an empty graph with n vertices. Recently, such sequential algorithms have been successful for random sampling problems. Our main contributions to this line of research includes introducing a new approach for sequentially approximating edge-specific probabilities at each step of the algorithm, and providing a new method for analyzing such algorithms. ",Computer Science - Data Structures and Algorithms ; Computer Science - Information Theory ; ,"Bayati, Mohsen ; Montanari, Andrea ; Saberi, Amin ; ","Generating Random Networks Without Short Cycles  Random graph generation is an important tool for studying large complex networks. Despite abundance of random graph models, constructing models with application-driven constraints is poorly understood. In order to advance state-of-the-art in this area, we focus on random graphs without short cycles as a stylized family of graphs, and propose the RandGraph algorithm for randomly generating them. For any constant k, when m=O(n^{1+1/[2k(k+3)]}), RandGraph generates an asymptotically uniform random graph with n vertices, m edges, and no cycle of length at most k using O(n^2m) operations. We also characterize the approximation error for finite values of n. To the best of our knowledge, this is the first polynomial-time algorithm for the problem. RandGraph works by sequentially adding $m$ edges to an empty graph with n vertices. Recently, such sequential algorithms have been successful for random sampling problems. Our main contributions to this line of research includes introducing a new approach for sequentially approximating edge-specific probabilities at each step of the algorithm, and providing a new method for analyzing such algorithms. ",generate random network without short cycle random graph generation important tool study large complex network despite abundance random graph model construct model application drive constraints poorly understand order advance state art area focus random graph without short cycle stylize family graph propose randgraph algorithm randomly generate constant randgraph generate asymptotically uniform random graph vertices edge cycle length use operations also characterize approximation error finite value best knowledge first polynomial time algorithm problem randgraph work sequentially add edge empty graph vertices recently sequential algorithms successful random sample problems main contributions line research include introduce new approach sequentially approximate edge specific probabilities step algorithm provide new method analyze algorithms,107,3,0811.2853.txt
http://arxiv.org/abs/0812.2709,Variations on a theme by Schalkwijk and Kailath,"  Schalkwijk and Kailath (1966) developed a class of block codes for Gaussian channels with ideal feedback for which the probability of decoding error decreases as a second-order exponent in block length for rates below capacity. This well-known but surprising result is explained and simply derived here in terms of a result by Elias (1956) concerning the minimum mean-square distortion achievable in transmitting a single Gaussian random variable over multiple uses of the same Gaussian channel. A simple modification of the Schalkwijk-Kailath scheme is then shown to have an error probability that decreases with an exponential order which is linearly increasing with block length. In the infinite bandwidth limit, this scheme produces zero error probability using bounded expected energy at all rates below capacity. A lower bound on error probability for the finite bandwidth case is then derived in which the error probability decreases with an exponential order which is linearly increasing in block length at the same rate as the upper bound. ",Computer Science - Information Theory ; ,"Gallager, Robert G. ; Nakiboglu, Baris ; ","Variations on a theme by Schalkwijk and Kailath  Schalkwijk and Kailath (1966) developed a class of block codes for Gaussian channels with ideal feedback for which the probability of decoding error decreases as a second-order exponent in block length for rates below capacity. This well-known but surprising result is explained and simply derived here in terms of a result by Elias (1956) concerning the minimum mean-square distortion achievable in transmitting a single Gaussian random variable over multiple uses of the same Gaussian channel. A simple modification of the Schalkwijk-Kailath scheme is then shown to have an error probability that decreases with an exponential order which is linearly increasing with block length. In the infinite bandwidth limit, this scheme produces zero error probability using bounded expected energy at all rates below capacity. A lower bound on error probability for the finite bandwidth case is then derived in which the error probability decreases with an exponential order which is linearly increasing in block length at the same rate as the upper bound. ",variations theme schalkwijk kailath schalkwijk kailath develop class block cod gaussian channel ideal feedback probability decode error decrease second order exponent block length rat capacity well know surprise result explain simply derive term result elias concern minimum mean square distortion achievable transmit single gaussian random variable multiple use gaussian channel simple modification schalkwijk kailath scheme show error probability decrease exponential order linearly increase block length infinite bandwidth limit scheme produce zero error probability use bound expect energy rat capacity lower bind error probability finite bandwidth case derive error probability decrease exponential order linearly increase block length rate upper bind,99,5,0812.2709.txt
http://arxiv.org/abs/0903.0197,Rotation Distance is Fixed-Parameter Tractable,"  Rotation distance between trees measures the number of simple operations it takes to transform one tree into another. There are no known polynomial-time algorithms for computing rotation distance. In the case of ordered rooted trees, we show that the rotation distance between two ordered trees is fixed-parameter tractable, in the parameter, k, the rotation distance. The proof relies on the kernalization of the initial trees to trees with size bounded by 7k. ",Computer Science - Data Structures and Algorithms ; ,"Cleary, Sean ; John, Katherine St. ; ","Rotation Distance is Fixed-Parameter Tractable  Rotation distance between trees measures the number of simple operations it takes to transform one tree into another. There are no known polynomial-time algorithms for computing rotation distance. In the case of ordered rooted trees, we show that the rotation distance between two ordered trees is fixed-parameter tractable, in the parameter, k, the rotation distance. The proof relies on the kernalization of the initial trees to trees with size bounded by 7k. ",rotation distance fix parameter tractable rotation distance tree measure number simple operations take transform one tree another know polynomial time algorithms compute rotation distance case order root tree show rotation distance two order tree fix parameter tractable parameter rotation distance proof rely kernalization initial tree tree size bound,48,4,0903.0197.txt
http://arxiv.org/abs/0903.0199,A Linear-Time Approximation Algorithm for Rotation Distance,"  Rotation distance between rooted binary trees measures the number of simple operations it takes to transform one tree into another. There are no known polynomial-time algorithms for computing rotation distance. We give an efficient, linear-time approximation algorithm, which estimates the rotation distance, within a provable factor of 2, between ordered rooted binary trees. . ",Computer Science - Data Structures and Algorithms ; ,"Cleary, Sean ; John, Katherine St. ; ","A Linear-Time Approximation Algorithm for Rotation Distance  Rotation distance between rooted binary trees measures the number of simple operations it takes to transform one tree into another. There are no known polynomial-time algorithms for computing rotation distance. We give an efficient, linear-time approximation algorithm, which estimates the rotation distance, within a provable factor of 2, between ordered rooted binary trees. . ",linear time approximation algorithm rotation distance rotation distance root binary tree measure number simple operations take transform one tree another know polynomial time algorithms compute rotation distance give efficient linear time approximation algorithm estimate rotation distance within provable factor order root binary tree,43,4,0903.0199.txt
