,identifier,title,tokensCombined,mainTopic
0,http://arxiv.org/abs/0704.3504,Smooth R\'enyi Entropy of Ergodic Quantum Information Sources,"['smooth', 'enyi', 'entropi', 'ergod', 'quantum', 'inform', 'sourc', 'prove', 'averag', 'smooth', 'renyi', 'entropi', 'rate', 'approach', 'entropi', 'rate', 'stationari', 'ergod', 'inform', 'sourc', 'equal', 'shannon', 'entropi', 'rate', 'classic', 'inform', 'sourc', 'neumann', 'entropi', 'rate', 'quantum', 'inform', 'sourc']",10
1,http://arxiv.org/abs/0706.1402,Analyzing Design Process and Experiments on the AnITA Generic Tutoring   System,"['analyz', 'design', 'process', 'experi', 'anita', 'gener', 'tutor', 'system', 'field', 'tutor', 'system', 'investig', 'shown', 'mani', 'tutor', 'system', 'specif', 'specif', 'domain', 'static', 'architectur', 'cannot', 'adapt', 'domain', 'consequ', 'often', 'neither', 'method', 'knowledg', 'reus', 'addit', 'knowledg', 'engin', 'program', 'skill', 'order', 'enhanc', 'evalu', 'system', 'particular', 'challeng', 'tackl', 'problem', 'develop', 'gener', 'tutor', 'system', 'anita', 'stand', 'alon', 'applic', 'develop', 'implement', 'particularli', 'purpos', 'howev', 'test', 'phase', 'discov', 'architectur', 'fulli', 'match', 'user', 'intuit', 'understand', 'learn', 'tool', 'therefor', 'anita', 'redesign', 'exclus', 'work', 'client', 'server', 'applic', 'renam', 'anita', 'paper', 'discuss', 'evolv', 'made', 'anita', 'tutor', 'system', 'goal', 'gener', 'principl', 'system', 'domain', 'experi', 'conduct', 'result', 'present', 'paper']",6
2,http://arxiv.org/abs/0710.0736,Colour image segmentation by the vector-valued Allen-Cahn phase-field   model: a multigrid solution,"['colour', 'imag', 'segment', 'vector', 'valu', 'allen', 'cahn', 'phase', 'field', 'model', 'multigrid', 'solut', 'propos', 'method', 'numer', 'solut', 'driven', 'model', 'colour', 'imag', 'segment', 'give', 'numer', 'exampl', 'result', 'method', 'combin', 'vector', 'valu', 'allen', 'cahn', 'phase', 'field', 'equat', 'initi', 'data', 'fit', 'term', 'method', 'known', 'close', 'relat', 'mumford', 'shah', 'problem', 'level', 'segment', 'chan', 'vese', 'numer', 'solut', 'perform', 'use', 'multigrid', 'split', 'finit', 'element', 'space', 'therebi', 'produc', 'effici', 'robust', 'method', 'segment', 'larg', 'imag']",1
3,http://arxiv.org/abs/0803.2570,Unequal Error Protection: An Information Theoretic Perspective,"['unequ', 'error', 'protect', 'inform', 'theoret', 'perspect', 'inform', 'theoret', 'framework', 'unequ', 'error', 'protect', 'develop', 'term', 'exponenti', 'error', 'bound', 'fundament', 'differ', 'wise', 'messag', 'wise', 'unequ', 'error', 'protect', '(uep)', 'demonstr', 'fix', 'length', 'block', 'code', 'dmc', 'without', 'feedback', 'effect', 'feedback', 'investig', 'variabl', 'length', 'block', 'code', 'shown', 'feedback', 'result', 'signific', 'improv', 'wise', 'messag', 'wise', '(except', 'singl', 'messag', 'case', 'miss', 'detection)', 'distinct', 'fals', 'alarm', 'miss', 'detect', 'formal', 'messag', 'wise', 'also', 'consid', 'result', 'present', 'rate', 'close', 'capac']",19
4,http://arxiv.org/abs/0808.0084,On the hitting times of quantum versus random walks,"['hit', 'time', 'quantum', 'versu', 'random', 'walk', 'paper', 'defin', 'mont', 'carlo', 'type', 'classic', 'quantum', 'hit', 'time', 'prove', 'sever', 'relationship', 'among', 'alreadi', 'exist', 'vega', 'type', 'definit', 'particular', 'show', 'mark', 'state', 'type', 'hit', 'time', 'order', 'classic', 'quantum', 'case', 'prove', 'revers', 'ergod', 'markov', 'chain', 'quantum', 'hit', 'time', 'quantum', 'analogu', 'order', 'squar', 'root', 'classic', 'hit', 'time', 'also', 'investig', '(im)poss', 'achiev', 'greater', 'quadrat', 'use', 'altern', 'quantum', 'walk', 'present', 'quantum', 'algorithm', 'detect', 'find', 'problem', 'complex', 'algorithm', 'relat', 'potenti', 'smaller', 'quantum', 'hit', 'time', 'detect', 'algorithm', 'base', 'phase', 'estim', 'particularli', 'simpl', 'find', 'algorithm', 'combin', 'similar', 'phase', 'estim', 'base', 'procedur', 'idea', 'tulsi', 'recent', 'theorem', 'grid', 'extend', 'result', 'show', 'state', 'transit', 'markov', 'chain', 'uniqu', 'mark', 'state', 'quantum', 'hit', 'time', 'order', 'detect', 'find', 'problem']",8
5,http://arxiv.org/abs/0811.1254,Coding Theory and Algebraic Combinatorics,"['code', 'theori', 'algebra', 'combinator', 'chapter', 'introduc', 'elabor', 'fruit', 'interplay', 'code', 'theori', 'algebra', 'combinator', 'focu', 'interact', 'code', 'combinatori', 'design', 'finit', 'geometri', 'simpl', 'group', 'sphere', 'pack', 'kiss', 'number', 'lattic', 'associ', 'scheme', 'particular', 'special', 'interest', 'devot', 'relationship', 'code', 'combinatori', 'design', 'describ', 'recapitul', 'import', 'result', 'develop', 'state', 'addit', 'give', 'illustr', 'exampl', 'construct', 'highlight', 'recent', 'advanc', 'provid', 'collect', 'signific', 'open', 'problem', 'challeng', 'concern', 'futur', 'research']",17
6,http://arxiv.org/abs/0811.2853,Generating Random Networks Without Short Cycles,"['gener', 'random', 'network', 'without', 'short', 'cycl', 'random', 'graph', 'gener', 'import', 'tool', 'studi', 'larg', 'complex', 'network', 'despit', 'abund', 'random', 'graph', 'model', 'construct', 'model', 'applic', 'driven', 'constraint', 'poorli', 'understood', 'order', 'advanc', 'state', 'area', 'focu', 'random', 'graph', 'without', 'short', 'cycl', 'styliz', 'famili', 'graph', 'propos', 'randgraph', 'algorithm', 'randomli', 'gener', 'constant', 'randgraph', 'gener', 'asymptot', 'uniform', 'random', 'graph', 'vertic', 'edg', 'cycl', 'length', 'use', 'oper', 'also', 'character', 'approxim', 'error', 'finit', 'valu', 'best', 'knowledg', 'first', 'polynomi', 'time', 'algorithm', 'problem', 'randgraph', 'work', 'sequenti', 'ad', 'edg', 'empti', 'graph', 'vertic', 'recent', 'sequenti', 'algorithm', 'success', 'random', 'sampl', 'problem', 'main', 'contribut', 'line', 'research', 'includ', 'introduc', 'approach', 'sequenti', 'approxim', 'edg', 'specif', 'probabl', 'step', 'algorithm', 'provid', 'method', 'analyz', 'algorithm']",16
7,http://arxiv.org/abs/0812.2709,Variations on a theme by Schalkwijk and Kailath,"['variat', 'theme', 'schalkwijk', 'kailath', 'schalkwijk', 'kailath', 'develop', 'class', 'block', 'code', 'gaussian', 'channel', 'ideal', 'feedback', 'probabl', 'decod', 'error', 'decreas', 'second', 'order', 'expon', 'block', 'length', 'rate', 'capac', 'well', 'known', 'surpris', 'result', 'explain', 'simpli', 'deriv', 'term', 'result', 'elia', 'concern', 'minimum', 'mean', 'squar', 'distort', 'achiev', 'transmit', 'singl', 'gaussian', 'random', 'variabl', 'multipl', 'use', 'gaussian', 'channel', 'simpl', 'modif', 'schalkwijk', 'kailath', 'scheme', 'shown', 'error', 'probabl', 'decreas', 'exponenti', 'order', 'linearli', 'increas', 'block', 'length', 'infinit', 'bandwidth', 'limit', 'scheme', 'produc', 'zero', 'error', 'probabl', 'use', 'bound', 'expect', 'energi', 'rate', 'capac', 'lower', 'bound', 'error', 'probabl', 'finit', 'bandwidth', 'case', 'deriv', 'error', 'probabl', 'decreas', 'exponenti', 'order', 'linearli', 'increas', 'block', 'length', 'rate', 'upper', 'bound']",10
8,http://arxiv.org/abs/0903.0197,Rotation Distance is Fixed-Parameter Tractable,"['rotat', 'distanc', 'fix', 'paramet', 'tractabl', 'rotat', 'distanc', 'tree', 'measur', 'number', 'simpl', 'oper', 'take', 'transform', 'tree', 'anoth', 'known', 'polynomi', 'time', 'algorithm', 'comput', 'rotat', 'distanc', 'case', 'order', 'root', 'tree', 'show', 'rotat', 'distanc', 'order', 'tree', 'fix', 'paramet', 'tractabl', 'paramet', 'rotat', 'distanc', 'proof', 'reli', 'kernal', 'initi', 'tree', 'tree', 'size', 'bound']",17
9,http://arxiv.org/abs/0903.0199,A Linear-Time Approximation Algorithm for Rotation Distance,"['linear', 'time', 'approxim', 'algorithm', 'rotat', 'distanc', 'rotat', 'distanc', 'root', 'binari', 'tree', 'measur', 'number', 'simpl', 'oper', 'take', 'transform', 'tree', 'anoth', 'known', 'polynomi', 'time', 'algorithm', 'comput', 'rotat', 'distanc', 'give', 'effici', 'linear', 'time', 'approxim', 'algorithm', 'estim', 'rotat', 'distanc', 'within', 'provabl', 'factor', 'order', 'root', 'binari', 'tree']",17
10,http://arxiv.org/abs/0903.1291,The quantum query complexity of certification,"['quantum', 'queri', 'complex', 'certif', 'studi', 'quantum', 'queri', 'complex', 'find', 'certif', 'regular', 'level', 'balanc', 'nand', 'formula', 'logarithm', 'factor', 'show', 'queri', 'complex', 'theta(d', 'certif', 'theta(d', 'certif', 'particular', 'show', 'zero', 'error', 'quantum', 'queri', 'complex', 'evalu', 'formula', '(again', 'neglect', 'logarithm', 'factor)', 'lower', 'bound', 'reli', 'fact', 'quantum', 'adversari', 'method', 'obey', 'direct', 'theorem']",15
11,http://arxiv.org/abs/0903.2923,On uncertainty principles in the finite dimensional setting,"['uncertainti', 'principl', 'finit', 'dimension', 'set', 'paper', 'prove', 'uncertainti', 'principl', 'represent', 'vector', 'base', 'result', 'extend', 'previous', 'known', 'qualit', 'uncertainti', 'principl', 'quantit', 'estim', 'show', 'transfer', 'result', 'discret', 'version', 'short', 'time', 'fourier', 'transform', 'applic', 'trigonometr', 'polynomi', 'also', 'given']",6
